domain,name,source
maassluis.nl,Gemeente Maassluis,https://organisaties.overheid.nl/archive/exportOO.xml
medemblik.nl,Gemeente Medemblik,https://organisaties.overheid.nl/archive/exportOO.xml
meerssen.nl,Gemeente Meerssen,https://organisaties.overheid.nl/archive/exportOO.xml
meierijstad.nl,Gemeente Meierijstad,https://organisaties.overheid.nl/archive/exportOO.xml
mensenrechten.nl,College voor de Rechten van de Mens,https://organisaties.overheid.nl/archive/exportOO.xml
meppel.nl,Gemeente Meppel,https://organisaties.overheid.nl/archive/exportOO.xml
middelburg.nl,Gemeente Middelburg,https://organisaties.overheid.nl/archive/exportOO.xml
midden-groningen.nl,Gemeente Midden-Groningen,https://organisaties.overheid.nl/archive/exportOO.xml
middendelfland.nl,Gemeente Midden-Delfland,https://organisaties.overheid.nl/archive/exportOO.xml
middendrenthe.nl,Gemeente Midden-Drenthe,https://organisaties.overheid.nl/archive/exportOO.xml
minienw.nl,Infrastructuur en Waterstaat,https://organisaties.overheid.nl/archive/exportOO.xml
moerdijk.nl,Gemeente Moerdijk,https://organisaties.overheid.nl/archive/exportOO.xml
molenlanden.nl,Gemeente Molenlanden,https://organisaties.overheid.nl/archive/exportOO.xml
mondriaanfonds.nl,Mondriaan Fonds,https://organisaties.overheid.nl/archive/exportOO.xml
montferland.info,Gemeente Montferland,https://organisaties.overheid.nl/archive/exportOO.xml
montfoort.nl,Gemeente Montfoort,https://organisaties.overheid.nl/archive/exportOO.xml
mookenmiddelaar.nl,Gemeente Mook en Middelaar,https://organisaties.overheid.nl/archive/exportOO.xml
nak.nl,Stichting Nederlandse Algemene Keuringsdienst voor Zaaizaad en Pootgoed van Landbouwgewassen,https://organisaties.overheid.nl/archive/exportOO.xml
naktuinbouw.nl,Stichting Nederlandse Algemene Kwaliteitsdienst Tuinbouw,https://organisaties.overheid.nl/archive/exportOO.xml
nationaalarchief.nl,Nationaal Archief,https://organisaties.overheid.nl/archive/exportOO.xml
nationaalrapporteur.nl,Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen,https://organisaties.overheid.nl/archive/exportOO.xml
